support,itemsets
0.0710085933966531,"frozenset({'Area_Category_Large_Area', 'Price_Category_Medium', 'Parking_Category_No_Parking', 'Bedroom_Category_Few_Bedrooms'})"
0.0710085933966531,"frozenset({'Area_Category_Large_Area', 'Parking_Category_No_Parking', 'Bathroom_Category_Few_Bathrooms', 'Price_Category_Low'})"
0.0710085933966531,"frozenset({'Area_Category_Large_Area', 'Price_Category_Medium', 'Parking_Category_No_Parking', 'Bathroom_Category_Few_Bathrooms'})"
0.14789687924016282,"frozenset({'Area_Category_Medium_Area', 'Parking_Category_No_Parking', 'Bedroom_Category_Few_Bedrooms', 'Bathroom_Category_Few_Bathrooms'})"
0.06196291270918137,"frozenset({'Area_Category_Medium_Area', 'Bathroom_Category_Few_Bathrooms', 'Bedroom_Category_Few_Bedrooms', 'Price_Category_Low'})"
0.06693803708729082,"frozenset({'Price_Category_Medium', 'Area_Category_Medium_Area', 'Bedroom_Category_Few_Bedrooms', 'Bathroom_Category_Few_Bathrooms'})"
0.05879692446856626,"frozenset({'Area_Category_Medium_Area', 'Parking_Category_No_Parking', 'Bedroom_Category_Few_Bedrooms', 'Price_Category_Low'})"
0.06693803708729082,"frozenset({'Price_Category_Medium', 'Area_Category_Medium_Area', 'Parking_Category_No_Parking', 'Bedroom_Category_Few_Bedrooms'})"
0.05970149253731343,"frozenset({'Area_Category_Medium_Area', 'Bathroom_Category_Many_Bathrooms', 'Bedroom_Category_Many_Bedrooms', 'Price_Category_High'})"
0.05834464043419267,"frozenset({'Area_Category_Medium_Area', 'Parking_Category_No_Parking', 'Bathroom_Category_Few_Bathrooms', 'Price_Category_Low'})"
0.06648575305291723,"frozenset({'Price_Category_Medium', 'Area_Category_Medium_Area', 'Parking_Category_No_Parking', 'Bathroom_Category_Few_Bathrooms'})"
0.1628222523744912,"frozenset({'Parking_Category_No_Parking', 'Bedroom_Category_Few_Bedrooms', 'Area_Category_Small_Area', 'Bathroom_Category_Few_Bathrooms'})"
0.08729081863410222,"frozenset({'Bathroom_Category_Few_Bathrooms', 'Area_Category_Small_Area', 'Bedroom_Category_Few_Bedrooms', 'Price_Category_Low'})"
0.0814111261872456,"frozenset({'Price_Category_Medium', 'Area_Category_Small_Area', 'Bedroom_Category_Few_Bedrooms', 'Bathroom_Category_Few_Bathrooms'})"
0.08050655811849841,"frozenset({'Parking_Category_No_Parking', 'Bedroom_Category_Few_Bedrooms', 'Area_Category_Small_Area', 'Price_Category_Low'})"
0.06784260515603799,"frozenset({'Price_Category_Medium', 'Parking_Category_No_Parking', 'Bedroom_Category_Few_Bedrooms', 'Area_Category_Small_Area'})"
0.08050655811849841,"frozenset({'Area_Category_Small_Area', 'Parking_Category_No_Parking', 'Bathroom_Category_Few_Bathrooms', 'Price_Category_Low'})"
0.07869742198100407,"frozenset({'Price_Category_Medium', 'Area_Category_Small_Area', 'Parking_Category_No_Parking', 'Bathroom_Category_Few_Bathrooms'})"
0.05789235639981909,"frozenset({'Bathroom_Category_Few_Bathrooms', 'Parking_Category_No_Parking', 'Bedroom_Category_Few_Bedrooms', 'Price_Category_High'})"
0.2130257801899593,"frozenset({'Bathroom_Category_Few_Bathrooms', 'Parking_Category_No_Parking', 'Bedroom_Category_Few_Bedrooms', 'Price_Category_Low'})"
0.208955223880597,"frozenset({'Price_Category_Medium', 'Parking_Category_No_Parking', 'Bedroom_Category_Few_Bedrooms', 'Bathroom_Category_Few_Bathrooms'})"
0.05563093622795115,"frozenset({'Parking_Category_Many_Parking', 'Bedroom_Category_Many_Bedrooms', 'Bathroom_Category_Many_Bathrooms', 'Price_Category_High'})"
0.06648575305291723,"frozenset({'Parking_Category_Some_Parking', 'Bedroom_Category_Many_Bedrooms', 'Bathroom_Category_Many_Bathrooms', 'Price_Category_High'})"
0.0710085933966531,"frozenset({'Parking_Category_No_Parking', 'Bathroom_Category_Few_Bathrooms', 'Price_Category_Low', 'Area_Category_Large_Area', 'Bedroom_Category_Few_Bedrooms'})"
0.07055630936227951,"frozenset({'Parking_Category_No_Parking', 'Price_Category_Medium', 'Bathroom_Category_Few_Bathrooms', 'Area_Category_Large_Area', 'Bedroom_Category_Few_Bedrooms'})"
0.05789235639981909,"frozenset({'Area_Category_Medium_Area', 'Parking_Category_No_Parking', 'Bathroom_Category_Few_Bathrooms', 'Price_Category_Low', 'Bedroom_Category_Few_Bedrooms'})"
0.06603346901854365,"frozenset({'Area_Category_Medium_Area', 'Parking_Category_No_Parking', 'Price_Category_Medium', 'Bathroom_Category_Few_Bathrooms', 'Bedroom_Category_Few_Bedrooms'})"
0.0777928539122569,"frozenset({'Area_Category_Small_Area', 'Parking_Category_No_Parking', 'Bathroom_Category_Few_Bathrooms', 'Price_Category_Low', 'Bedroom_Category_Few_Bedrooms'})"
0.0673903211216644,"frozenset({'Area_Category_Small_Area', 'Parking_Category_No_Parking', 'Price_Category_Medium', 'Bathroom_Category_Few_Bathrooms', 'Bedroom_Category_Few_Bedrooms'})"
