area_sqft,bedroom,bathroom,parking,price,Cluster
1818.203125,28,0,0,42500000,0
4791.5,0,0,0,1300000,1
1625.6875,0,0,0,1800000,1
4107.0,8,5,7,300000,0
2481.3125,0,0,0,10500000,1
27380.0,3,3,2,50000000,0
1369.0,4,2,1,10500000,0
1711.25,6,5,2,30000000,0
1471.675,4,4,1,31500000,0
1090.921875,3,3,1,18000000,0
2738.0,4,5,1,57500000,0
684.5,0,3,1,30000000,1
3764.75,3,3,3,100000,0
1369.0,0,0,0,15500000,1
3251.375,0,0,0,7500000,1
3251.375,0,0,3,60000000,1
1625.6875,0,0,0,1200000,1
1711.25,0,0,0,2700000,1
1240.65625,7,3,2,35000000,0
3080.25,0,0,0,3600000,1
855.625,6,4,2,25000000,0
1197.875,0,0,0,15500000,1
4449.25,0,0,0,9500000,1
3080.25,0,0,0,75000000,1
4449.25,0,0,0,3500000,1
13690.0,0,0,0,7500000,1
3422.5,0,0,0,75000000,1
2738.0,0,0,0,4500000,1
3080.25,0,0,0,3700000,1
2053.5,0,0,3,39500000,1
1600.0,0,2,0,70000,1
375.0,1,1,4,18000,1
3422.5,0,0,0,5000000,1
1369.0,5,6,2,37000000,0
800.0,0,0,0,40000,1
1369.0,0,0,1,25600000,1
1711.25,4,4,1,78000,0
51030.0,0,0,0,1600000,3
2139.0625,5,4,2,36500000,0
6502.75,5,0,0,102500000,0
5467.5,0,0,0,899999,1
1112.3125,5,3,1,22500000,0
1026.75,5,3,2,23500000,0
1090.921875,4,3,1,22500000,0
1369.0,5,4,1,32500000,0
4107.0,5,0,4,42500000,0
1369.0,10,3,0,11000000,0
1711.25,5,3,1,42500000,0
2053.5,5,4,2,35000000,0
1711.25,0,0,0,2200000,1
1711.25,0,0,0,2400000,1
1711.25,0,0,0,2400000,1
1026.75,0,0,0,6000000,1
4449.25,0,0,0,2700000,1
2053.5,0,0,0,2300000,1
1369.0,5,5,1,37000000,0
2053.5,6,6,3,45000000,0
820.125,0,0,0,550000,1
3764.75,2,1,2,39000000,1
1283.4375,5,3,1,17000000,0
3764.75,5,4,2,100000,0
1882.375,3,3,1,75000,0
1026.75,6,3,1,16500000,0
1283.4375,4,4,1,20500000,0
1625.6875,7,6,3,25000000,0
1026.75,0,0,0,12500000,1
1369.0,4,5,1,21000000,0
900.0,0,4,1,60000,1
4278.125,0,0,0,3500000,1
88985.0,0,0,0,600000,3
19936.0625,0,0,0,2000000,1
7529.5,2,1,1,50000,1
5476.0,0,0,6,175000,1
5476.0,6,5,8,160000,5
1369.0,0,0,0,2500000,1
11465.375,0,0,0,6000000,1
1625.6875,6,3,2,18000000,0
1882.375,4,4,1,35200000,0
3422.5,3,2,1,35000,1
2053.5,4,4,1,37100000,0
1711.25,4,5,4,55000000,0
1796.8125,4,4,1,34500000,0
7529.5,0,0,0,1650000,1
2053.5,5,6,3,45000000,0
1060.975,6,5,1,22500000,0
2738.0,3,2,1,30000,1
4009.5,4,2,1,700000,1
6.0,2,2,2,35000,1
6.0,2,2,2,35000,1
1497.34375,0,0,0,700000,1
1026.75,6,5,1,23500000,0
6502.75,6,6,4,102500000,0
1454.5625,4,4,1,28200000,0
620.0,0,1,0,40000,1
17112.5,2,1,2,13000000,1
1369.0,5,5,1,32500000,0
1711.25,11,9,1,26000000,0
1711.25,7,8,1,24000000,0
855.625,3,4,1,17700000,0
4278.125,1,1,2,2200000,1
1026.75,5,5,1,16800000,0
1882.375,6,6,2,34000000,0
4962.625,5,4,2,200000,0
550.0,3,1,4,25000,0
7187.25,2,1,0,17000,1
4107.0,5,6,4,42500000,0
27380.0,6,7,10,790000,5
1711.25,7,3,1,41000000,0
